INSERT INTO Product (userID, pTitle, pDesc, pPrice, pLocation, postStatus) VALUES
(14,'2022, Subaru, Minivan, 15129$!','Location: Dorval, color: green, milage: 38247, transmission: automatic, fuel: hybrid.','15129','Dorval','AVAILABLE'),
(25,'2014, Volvo, SUV, 14272$!','Location: Sainte-Anne-de-Bellevue, color: white, milage: 194689, transmission: automatic, fuel: electric.','14272','Sainte-Anne-de-Bellevue','AVAILABLE'),
(17,'2019, Ford, Sedan, 18562$!','Location: Dollard-Des-Ormeaux, color: blue, milage: 111144, transmission: automatic, fuel: hybrid.','18562','Dollard-Des-Ormeaux','AVAILABLE'),
(8,'2022, Nissan, Hatchback, 15035$!','Location: Hampstead, color: green, milage: 66351, transmission: manual, fuel: gasoline.','15035','Hampstead','TRADED'),
(27,'2013, GM, Wagon, 16421$!','Location: Mont-Royal, color: white, milage: 160728, transmission: automatic, fuel: hybrid.','16421','Mont-Royal','TRADED'),
(21,'2021, Suzuki, SUV, 12026$!','Location: Montréal-Ouest, color: white, milage: 76808, transmission: automatic, fuel: gasoline.','12026','Montréal-Ouest','TRADED'),
(6,'2016, Audi, Hatchback, 19687$!','Location: Île-Dorval, color: grey, milage: 183258, transmission: manual, fuel: diesel.','19687','Île-Dorval','AVAILABLE'),
(27,'2017, BMW, Hatchback, 15395$!','Location: Île-Dorval, color: red, milage: 173032, transmission: manual, fuel: diesel.','15395','Île-Dorval','AVAILABLE'),
(14,'2016, Suzuki, Coupe, 14930$!','Location: Hampstead, color: blue, milage: 166050, transmission: automatic, fuel: gasoline.','14930','Hampstead','AVAILABLE'),
(6,'2024, Fiat, Coupe, 18036$!','Location: Montréal, color: white, milage: 15071, transmission: manual, fuel: diesel.','18036','Montréal','AVAILABLE'),
(24,'2022, Suzuki, Sedan, 19893$!','Location: Kirkland, color: grey, milage: 43356, transmission: manual, fuel: diesel.','19893','Kirkland','AVAILABLE'),
(29,'2023, Ford, Sedan, 16012$!','Location: Beaconsfield, color: white, milage: 32556, transmission: automatic, fuel: hybrid.','16012','Beaconsfield','TRADED'),
(14,'2022, Honda, Wagon, 18962$!','Location: Pointe-Claire, color: grey, milage: 67521, transmission: manual, fuel: hybrid.','18962','Pointe-Claire','AVAILABLE'),
(21,'2021, GM, SUV, 16217$!','Location: Pointe-Claire, color: white, milage: 74540, transmission: automatic, fuel: electric.','16217','Pointe-Claire','TRADED'),
(7,'2022, Volvo, Coupe, 16037$!','Location: Montréal, color: red, milage: 62298, transmission: manual, fuel: hybrid.','16037','Montréal','AVAILABLE'),
(6,'2019, Fiat, Sedan, 18057$!','Location: Dollard-Des-Ormeaux, color: blue, milage: 115824, transmission: automatic, fuel: diesel.','18057','Dollard-Des-Ormeaux','TRADED'),
(11,'2013, Nissan, Wagon, 17255$!','Location: Sainte-Anne-de-Bellevue, color: green, milage: 168768, transmission: automatic, fuel: diesel.','17255','Sainte-Anne-de-Bellevue','AVAILABLE'),
(22,'2017, Honda, Minivan, 18517$!','Location: Île-Dorval, color: grey, milage: 172128, transmission: automatic, fuel: gasoline.','18517','Île-Dorval','TRADED'),
(30,'2015, Subaru, Sedan, 16538$!','Location: Pointe-Claire, color: green, milage: 130240, transmission: manual, fuel: hybrid.','16538','Pointe-Claire','AVAILABLE'),
(14,'2014, BMW, Hatchback, 16162$!','Location: Senneville, color: grey, milage: 207427, transmission: automatic, fuel: gasoline.','16162','Senneville','AVAILABLE'),
(19,'2013, Mercedes, SUV, 11334$!','Location: Montréal-Ouest, color: blue, milage: 222180, transmission: manual, fuel: hybrid.','11334','Montréal-Ouest','AVAILABLE'),
(27,'2024, GM, Hatchback, 19685$!','Location: Montréal-Ouest, color: blue, milage: 15764, transmission: manual, fuel: gasoline.','19685','Montréal-Ouest','TRADED'),
(7,'2022, Fiat, Wagon, 15451$!','Location: Mont-Royal, color: white, milage: 52254, transmission: manual, fuel: hybrid.','15451','Mont-Royal','AVAILABLE'),
(30,'2024, Audi, Sedan, 19087$!','Location: Senneville, color: red, milage: 19357, transmission: automatic, fuel: diesel.','19087','Senneville','AVAILABLE'),
(21,'2019, Fiat, Coupe, 12027$!','Location: Pointe-Claire, color: blue, milage: 86532, transmission: automatic, fuel: diesel.','12027','Pointe-Claire','AVAILABLE'),
(12,'2019, Honda, Coupe, 17285$!','Location: Montréal, color: white, milage: 90972, transmission: manual, fuel: diesel.','17285','Montréal','AVAILABLE'),
(18,'2013, Mazda, Sedan, 18856$!','Location: Senneville, color: red, milage: 208140, transmission: manual, fuel: gasoline.','18856','Senneville','TRADED'),
(25,'2023, Toyota, Coupe, 15599$!','Location: Mont-Royal, color: white, milage: 47190, transmission: manual, fuel: electric.','15599','Mont-Royal','AVAILABLE'),
(17,'2012, Nissan, Minivan, 14107$!','Location: Sainte-Anne-de-Bellevue, color: red, milage: 222157, transmission: manual, fuel: hybrid.','14107','Sainte-Anne-de-Bellevue','AVAILABLE'),
(19,'2012, Nissan, Sedan, 11859$!','Location: Côte-Saint-Luc, color: black, milage: 185146, transmission: automatic, fuel: diesel.','11859','Côte-Saint-Luc','AVAILABLE'),
(25,'2023, Subaru, Coupe, 19348$!','Location: Sainte-Anne-de-Bellevue, color: grey, milage: 31884, transmission: manual, fuel: gasoline.','19348','Sainte-Anne-de-Bellevue','AVAILABLE'),
(9,'2023, Audi, Wagon, 15543$!','Location: Hampstead, color: blue, milage: 34394, transmission: automatic, fuel: diesel.','15543','Hampstead','TRADED'),
(27,'2023, Nissan, Minivan, 16324$!','Location: Hampstead, color: green, milage: 45416, transmission: automatic, fuel: diesel.','16324','Hampstead','AVAILABLE'),
(17,'2019, Mazda, Minivan, 11610$!','Location: Montréal, color: blue, milage: 129180, transmission: manual, fuel: diesel.','11610','Montréal','AVAILABLE'),
(28,'2016, BMW, SUV, 18529$!','Location: Beaconsfield, color: grey, milage: 150768, transmission: automatic, fuel: gasoline.','18529','Beaconsfield','AVAILABLE'),
(17,'2021, BMW, Hatchback, 21223$!','Location: Mont-Royal, color: blue, milage: 72820, transmission: manual, fuel: electric.','21223','Mont-Royal','AVAILABLE'),
(8,'2023, Nissan, Minivan, 19770$!','Location: Pointe-Claire, color: grey, milage: 29078, transmission: automatic, fuel: electric.','19770','Pointe-Claire','TRADED'),
(20,'2019, Honda, Hatchback, 17800$!','Location: Côte-Saint-Luc, color: blue, milage: 113412, transmission: automatic, fuel: hybrid.','17800','Côte-Saint-Luc','AVAILABLE'),
(19,'2013, GM, Wagon, 17619$!','Location: Montréal-Est, color: grey, milage: 240612, transmission: automatic, fuel: hybrid.','17619','Montréal-Est','AVAILABLE'),
(19,'2018, GM, Hatchback, 13634$!','Location: Pointe-Claire, color: white, milage: 125006, transmission: automatic, fuel: electric.','13634','Pointe-Claire','TRADED'),
(29,'2021, Audi, Hatchback, 18154$!','Location: Dorval, color: green, milage: 60092, transmission: automatic, fuel: diesel.','18154','Dorval','TRADED'),
(12,'2015, Subaru, Minivan, 12059$!','Location: Montréal, color: green, milage: 143680, transmission: manual, fuel: gasoline.','12059','Montréal','TRADED'),
(15,'2013, Honda, SUV, 17580$!','Location: Beaconsfield, color: blue, milage: 240552, transmission: manual, fuel: electric.','17580','Beaconsfield','TRADED'),
(26,'2021, Nissan, Coupe, 20985$!','Location: Montréal-Est, color: green, milage: 64560, transmission: automatic, fuel: diesel.','20985','Montréal-Est','TRADED'),
(13,'2012, Audi, Coupe, 18561$!','Location: Sainte-Anne-de-Bellevue, color: white, milage: 248846, transmission: automatic, fuel: electric.','18561','Sainte-Anne-de-Bellevue','TRADED'),
(24,'2019, Toyota, Sedan, 15655$!','Location: Beaconsfield, color: blue, milage: 99318, transmission: automatic, fuel: diesel.','15655','Beaconsfield','AVAILABLE'),
(28,'2024, Fiat, Coupe, 12723$!','Location: Hampstead, color: white, milage: 16750, transmission: manual, fuel: gasoline.','12723','Hampstead','AVAILABLE'),
(20,'2023, Honda, Hatchback, 18325$!','Location: Beaconsfield, color: white, milage: 43652, transmission: manual, fuel: diesel.','18325','Beaconsfield','AVAILABLE'),
(10,'2017, Honda, Sedan, 20522$!','Location: Montréal-Ouest, color: black, milage: 176048, transmission: manual, fuel: diesel.','20522','Montréal-Ouest','TRADED'),
(30,'2020, Mazda, SUV, 19381$!','Location: Sainte-Anne-de-Bellevue, color: grey, milage: 84020, transmission: manual, fuel: hybrid.','19381','Sainte-Anne-de-Bellevue','TRADED'),
(14,'2021, Ford, Minivan, 14163$!','Location: Pointe-Claire, color: black, milage: 67944, transmission: manual, fuel: electric.','14163','Pointe-Claire','AVAILABLE'),
(16,'2016, Volvo, Wagon, 14495$!','Location: Beaconsfield, color: grey, milage: 179802, transmission: manual, fuel: electric.','14495','Beaconsfield','TRADED'),
(16,'2024, Audi, Coupe, 14835$!','Location: Kirkland, color: red, milage: 17236, transmission: manual, fuel: gasoline.','14835','Kirkland','AVAILABLE'),
(20,'2021, GM, Wagon, 21224$!','Location: Montréal, color: white, milage: 86108, transmission: automatic, fuel: electric.','21224','Montréal','TRADED'),
(13,'2024, Suzuki, Hatchback, 20964$!','Location: Île-Dorval, color: green, milage: 18202, transmission: automatic, fuel: diesel.','20964','Île-Dorval','AVAILABLE'),
(13,'2018, Honda, SUV, 13719$!','Location: Westmount, color: green, milage: 118272, transmission: manual, fuel: gasoline.','13719','Westmount','TRADED'),
(24,'2013, Volvo, Hatchback, 18521$!','Location: Westmount, color: grey, milage: 280428, transmission: manual, fuel: hybrid.','18521','Westmount','TRADED'),
(9,'2019, Audi, SUV, 18040$!','Location: Hampstead, color: red, milage: 112194, transmission: automatic, fuel: gasoline.','18040','Hampstead','AVAILABLE'),
(15,'2017, Volvo, SUV, 19105$!','Location: Dorval, color: red, milage: 124912, transmission: automatic, fuel: diesel.','19105','Dorval','AVAILABLE'),
(23,'2021, Nissan, Hatchback, 19812$!','Location: Senneville, color: grey, milage: 69144, transmission: automatic, fuel: diesel.','19812','Senneville','AVAILABLE'),
(27,'2014, GM, Hatchback, 15893$!','Location: Côte-Saint-Luc, color: red, milage: 215589, transmission: automatic, fuel: diesel.','15893','Côte-Saint-Luc','AVAILABLE'),
(16,'2024, Toyota, Coupe, 16795$!','Location: Côte-Saint-Luc, color: red, milage: 12232, transmission: manual, fuel: electric.','16795','Côte-Saint-Luc','AVAILABLE'),
(23,'2022, Nissan, Wagon, 20813$!','Location: Mont-Royal, color: green, milage: 65595, transmission: automatic, fuel: gasoline.','20813','Mont-Royal','AVAILABLE'),
(8,'2020, Nissan, SUV, 20356$!','Location: Sainte-Anne-de-Bellevue, color: red, milage: 68245, transmission: manual, fuel: hybrid.','20356','Sainte-Anne-de-Bellevue','AVAILABLE'),
(24,'2016, BMW, Minivan, 15396$!','Location: Hampstead, color: grey, milage: 162162, transmission: automatic, fuel: diesel.','15396','Hampstead','TRADED'),
(24,'2022, BMW, Sedan, 13367$!','Location: Mont-Royal, color: white, milage: 70125, transmission: automatic, fuel: hybrid.','13367','Mont-Royal','AVAILABLE'),
(15,'2016, Nissan, Wagon, 13818$!','Location: Hampstead, color: red, milage: 115515, transmission: automatic, fuel: electric.','13818','Hampstead','AVAILABLE'),
(10,'2017, Subaru, Sedan, 12228$!','Location: Pointe-Claire, color: green, milage: 98280, transmission: manual, fuel: diesel.','12228','Pointe-Claire','AVAILABLE'),
(11,'2023, GM, SUV, 12044$!','Location: Dollard-Des-Ormeaux, color: green, milage: 32416, transmission: automatic, fuel: diesel.','12044','Dollard-Des-Ormeaux','TRADED'),
(29,'2018, Nissan, Minivan, 18239$!','Location: Baie-Urfé, color: white, milage: 99267, transmission: automatic, fuel: diesel.','18239','Baie-Urfé','AVAILABLE'),
(5,'2018, Ford, Minivan, 15883$!','Location: Montréal-Ouest, color: blue, milage: 145089, transmission: manual, fuel: diesel.','15883','Montréal-Ouest','TRADED'),
(12,'2018, Mazda, Sedan, 14497$!','Location: Baie-Urfé, color: green, milage: 114912, transmission: manual, fuel: electric.','14497','Baie-Urfé','AVAILABLE'),
(26,'2023, Mazda, Coupe, 20334$!','Location: Sainte-Anne-de-Bellevue, color: black, milage: 30366, transmission: manual, fuel: hybrid.','20334','Sainte-Anne-de-Bellevue','AVAILABLE'),
(10,'2012, GM, Hatchback, 14728$!','Location: Dorval, color: grey, milage: 259064, transmission: automatic, fuel: electric.','14728','Dorval','AVAILABLE'),
(23,'2024, Audi, Sedan, 18813$!','Location: Côte-Saint-Luc, color: green, milage: 17675, transmission: manual, fuel: electric.','18813','Côte-Saint-Luc','TRADED'),
(28,'2016, Mazda, Sedan, 12090$!','Location: Île-Dorval, color: grey, milage: 113265, transmission: automatic, fuel: electric.','12090','Île-Dorval','AVAILABLE'),
(8,'2015, Mazda, Hatchback, 18421$!','Location: Westmount, color: green, milage: 163460, transmission: manual, fuel: hybrid.','18421','Westmount','AVAILABLE'),
(10,'2015, Volvo, Hatchback, 12053$!','Location: Hampstead, color: grey, milage: 215020, transmission: automatic, fuel: electric.','12053','Hampstead','TRADED'),
(14,'2019, Fiat, Coupe, 21029$!','Location: Kirkland, color: black, milage: 123246, transmission: manual, fuel: diesel.','21029','Kirkland','AVAILABLE'),
(6,'2022, Volvo, Hatchback, 20827$!','Location: Montréal-Est, color: black, milage: 56505, transmission: automatic, fuel: gasoline.','20827','Montréal-Est','AVAILABLE'),
(27,'2022, BMW, Hatchback, 15309$!','Location: Beaconsfield, color: green, milage: 70170, transmission: manual, fuel: gasoline.','15309','Beaconsfield','AVAILABLE'),
(10,'2024, Subaru, Coupe, 17462$!','Location: Côte-Saint-Luc, color: green, milage: 16994, transmission: automatic, fuel: hybrid.','17462','Côte-Saint-Luc','TRADED'),
(11,'2020, Mercedes, SUV, 18686$!','Location: Montréal-Ouest, color: grey, milage: 79350, transmission: automatic, fuel: electric.','18686','Montréal-Ouest','AVAILABLE'),
(7,'2024, Fiat, Wagon, 11581$!','Location: Côte-Saint-Luc, color: green, milage: 18148, transmission: manual, fuel: diesel.','11581','Côte-Saint-Luc','AVAILABLE'),
(24,'2019, Subaru, Coupe, 11409$!','Location: Côte-Saint-Luc, color: green, milage: 91056, transmission: manual, fuel: diesel.','11409','Côte-Saint-Luc','TRADED'),
(27,'2020, Mazda, Wagon, 16250$!','Location: Dollard-Des-Ormeaux, color: black, milage: 102230, transmission: manual, fuel: hybrid.','16250','Dollard-Des-Ormeaux','AVAILABLE'),
(6,'2023, Nissan, Minivan, 20123$!','Location: Dorval, color: red, milage: 27442, transmission: manual, fuel: diesel.','20123','Dorval','AVAILABLE'),
(30,'2021, Audi, Coupe, 18191$!','Location: Sainte-Anne-de-Bellevue, color: blue, milage: 60524, transmission: manual, fuel: electric.','18191','Sainte-Anne-de-Bellevue','TRADED'),
(13,'2018, Volvo, Minivan, 16748$!','Location: Montréal-Est, color: red, milage: 138642, transmission: automatic, fuel: diesel.','16748','Montréal-Est','AVAILABLE'),
(7,'2019, Subaru, Hatchback, 12386$!','Location: Pointe-Claire, color: blue, milage: 91224, transmission: automatic, fuel: hybrid.','12386','Pointe-Claire','TRADED'),
(18,'2013, Subaru, Wagon, 16168$!','Location: Montréal, color: black, milage: 169284, transmission: manual, fuel: diesel.','16168','Montréal','AVAILABLE'),
(29,'2019, Nissan, Minivan, 19613$!','Location: Beaconsfield, color: green, milage: 116022, transmission: manual, fuel: diesel.','19613','Beaconsfield','TRADED'),
(26,'2019, Mercedes, Hatchback, 20293$!','Location: Montréal-Ouest, color: grey, milage: 94842, transmission: automatic, fuel: electric.','20293','Montréal-Ouest','AVAILABLE'),
(7,'2020, Nissan, Hatchback, 16656$!','Location: Dollard-Des-Ormeaux, color: black, milage: 77150, transmission: manual, fuel: gasoline.','16656','Dollard-Des-Ormeaux','TRADED'),
(6,'2013, Volvo, SUV, 16167$!','Location: Montréal-Est, color: grey, milage: 261264, transmission: automatic, fuel: electric.','16167','Montréal-Est','TRADED'),
(20,'2014, Subaru, Coupe, 12554$!','Location: Baie-Urfé, color: red, milage: 208703, transmission: automatic, fuel: electric.','12554','Baie-Urfé','AVAILABLE'),
(7,'2013, Ford, Minivan, 14522$!','Location: Île-Dorval, color: grey, milage: 236556, transmission: automatic, fuel: electric.','14522','Île-Dorval','TRADED'),
(22,'2024, Nissan, Hatchback, 18087$!','Location: Kirkland, color: green, milage: 13660, transmission: manual, fuel: hybrid.','18087','Kirkland','AVAILABLE'),
(12,'2023, Ford, Wagon, 18946$!','Location: Kirkland, color: white, milage: 36580, transmission: automatic, fuel: diesel.','18946','Kirkland','AVAILABLE'),
(19,'2019, Nissan, Sedan, 15946$!','Location: Beaconsfield, color: blue, milage: 87318, transmission: manual, fuel: hybrid.','15946','Beaconsfield','TRADED'),
(14,'2022, GM, Hatchback, 16786$!','Location: Westmount, color: red, milage: 59028, transmission: automatic, fuel: diesel.','16786','Westmount','TRADED'),
(27,'2017, Fiat, Wagon, 21080$!','Location: Hampstead, color: black, milage: 122872, transmission: automatic, fuel: gasoline.','21080','Hampstead','AVAILABLE'),
(29,'2022, Volvo, Minivan, 11702$!','Location: Beaconsfield, color: red, milage: 50268, transmission: manual, fuel: gasoline.','11702','Beaconsfield','TRADED'),
(29,'2022, Volvo, SUV, 19270$!','Location: Île-Dorval, color: green, milage: 63540, transmission: manual, fuel: gasoline.','19270','Île-Dorval','TRADED'),
(5,'2015, Subaru, SUV, 13600$!','Location: Montréal, color: grey, milage: 188400, transmission: automatic, fuel: gasoline.','13600','Montréal','AVAILABLE'),
(24,'2012, Honda, Hatchback, 15602$!','Location: Dorval, color: white, milage: 191711, transmission: manual, fuel: gasoline.','15602','Dorval','AVAILABLE'),
(16,'2013, Audi, Sedan, 17577$!','Location: Côte-Saint-Luc, color: white, milage: 203988, transmission: automatic, fuel: electric.','17577','Côte-Saint-Luc','AVAILABLE'),
(30,'2012, Suzuki, SUV, 20559$!','Location: Baie-Urfé, color: black, milage: 289042, transmission: manual, fuel: gasoline.','20559','Baie-Urfé','AVAILABLE'),
